Дата,Открытие,Закрытие,Мин,Макс,
18.09.2018,108440,109130,108440,109200,
18.09.2018,109120,109060,109020,109190,
18.09.2018,109070,108990,108970,109090,
18.09.2018,109000,108950,108910,109030,
18.09.2018,108950,108950,108900,109010,
18.09.2018,108910,108900,108840,108950,
18.09.2018,108890,108850,108850,108940,
18.09.2018,108870,108830,108830,108890,
18.09.2018,108850,108890,108820,108890,
18.09.2018,108880,108900,108860,108920,
18.09.2018,108910,108860,108860,108910,
18.09.2018,108830,108750,108750,108830,
18.09.2018,108750,108960,108750,108980,
18.09.2018,108960,108990,108930,108990,
18.09.2018,108950,108960,108920,108990,
18.09.2018,108970,108970,108930,108990,
18.09.2018,108970,108900,108900,108970,
18.09.2018,108910,108870,108870,108940,
18.09.2018,108870,108920,108870,108920,
18.09.2018,108920,108900,108900,108930,
18.09.2018,108890,108900,108880,108920,
18.09.2018,108880,108940,108850,108940,
18.09.2018,108920,108950,108920,108950,
18.09.2018,108950,109000,108950,109010,
18.09.2018,109010,109060,109010,109080,
18.09.2018,109080,109240,109070,109280,
18.09.2018,109250,109200,109200,109340,
18.09.2018,109210,109280,109190,109290,
18.09.2018,109270,109270,109250,109300,
18.09.2018,109310,109210,109210,109310,
18.09.2018,109220,109320,109220,109440,
18.09.2018,109310,109370,109290,109440,
18.09.2018,109380,109420,109380,109450,
18.09.2018,109410,109440,109360,109450,
18.09.2018,109460,109540,109440,109590,
18.09.2018,109550,109420,109390,109570,
18.09.2018,109430,109380,109330,109450,
18.09.2018,109370,109410,109360,109410,
18.09.2018,109400,109380,109360,109420,
18.09.2018,109380,109290,109290,109380,
18.09.2018,109290,109280,109280,109310,
18.09.2018,109270,109300,109260,109340,
18.09.2018,109300,109270,109270,109360,
18.09.2018,109260,109240,109240,109270,
18.09.2018,109250,109320,109250,109340,
18.09.2018,109320,109290,109290,109350,
18.09.2018,109310,109280,109260,109320,
18.09.2018,109270,109290,109270,109310,
18.09.2018,109300,109270,109250,109300,
18.09.2018,109290,109270,109260,109310,
18.09.2018,109290,109280,109270,109290,
18.09.2018,109280,109430,109280,109550,
18.09.2018,109440,109220,109210,109480,
18.09.2018,109240,109030,109030,109250,
18.09.2018,109040,109020,108920,109070,
18.09.2018,109010,109150,109010,109220,
18.09.2018,109150,109160,109150,109210,
18.09.2018,109150,109110,109110,109160,
18.09.2018,109120,109100,109080,109120,
18.09.2018,109090,109070,109060,109090,
18.09.2018,109080,109100,109070,109100,
18.09.2018,109110,109210,109090,109260,
18.09.2018,109220,109170,109120,109240,
18.09.2018,109140,109200,109140,109200,
18.09.2018,109220,109210,109200,109250,
18.09.2018,109180,109160,109160,109200,
18.09.2018,109180,109130,109130,109200,
18.09.2018,109130,109210,109110,109210,
18.09.2018,109200,109180,109180,109200,
18.09.2018,109180,109170,109170,109190,
18.09.2018,109150,109180,109140,109190,
18.09.2018,109180,109220,109180,109250,
18.09.2018,109240,109240,109200,109290,
18.09.2018,109220,109180,109150,109220,
18.09.2018,109180,109130,109120,109180,
18.09.2018,109130,109150,109130,109170,
18.09.2018,109140,109160,109140,109170,
18.09.2018,109160,109150,109140,109190,
18.09.2018,109120,109150,109110,109170,
18.09.2018,109170,109170,109170,109180,
18.09.2018,109150,109190,109150,109200,
18.09.2018,109190,109170,109160,109190,
18.09.2018,109160,109200,109160,109210,
18.09.2018,109210,109270,109210,109290,
18.09.2018,109270,109210,109200,109270,
18.09.2018,109210,109230,109210,109240,
18.09.2018,109240,109300,109240,109300,
18.09.2018,109300,109250,109250,109300,
18.09.2018,109260,109250,109240,109290,
18.09.2018,109260,109340,109260,109340,
18.09.2018,109340,109280,109260,109350,
18.09.2018,109280,109250,109250,109280,
18.09.2018,109260,109270,109240,109270,
18.09.2018,109270,109240,109240,109310,
18.09.2018,109250,109230,109230,109250,
18.09.2018,109230,109280,109210,109280,
18.09.2018,109280,109260,109250,109290,
18.09.2018,109270,109290,109240,109290,
18.09.2018,109290,109250,109230,109290,
18.09.2018,109250,109170,109170,109280,
18.09.2018,109180,109220,109180,109220,
18.09.2018,109220,109340,109220,109350,
18.09.2018,109340,109380,109320,109390,
18.09.2018,109390,109380,109350,109400,
18.09.2018,109390,109360,109340,109420,
18.09.2018,109350,109400,109350,109420,
18.09.2018,109390,109410,109390,109430,
18.09.2018,109420,109420,109390,109440,
18.09.2018,109420,109390,109390,109480,
18.09.2018,109400,109420,109360,109420,
18.09.2018,109420,109360,109350,109430,
18.09.2018,109370,109410,109360,109430,
18.09.2018,109430,109500,109430,109500,
18.09.2018,109490,109440,109440,109490,
18.09.2018,109450,109420,109410,109450,
18.09.2018,109420,109430,109410,109540,
18.09.2018,109430,109480,109430,109480,
18.09.2018,109470,109460,109430,109490,
18.09.2018,109470,109440,109420,109480,
18.09.2018,109420,109400,109380,109430,
18.09.2018,109380,109350,109350,109410,
18.09.2018,109340,109370,109340,109380,
18.09.2018,109380,109480,109380,109490,
18.09.2018,109480,109490,109460,109500,
18.09.2018,109500,109460,109460,109500,
18.09.2018,109480,109540,109480,109550,
18.09.2018,109560,109520,109520,109560,
18.09.2018,109520,109580,109510,109590,
18.09.2018,109580,109590,109570,109600,
18.09.2018,109590,109600,109570,109620,
18.09.2018,109600,109620,109600,109650,
18.09.2018,109610,109650,109610,109660,
18.09.2018,109650,109690,109640,109690,
18.09.2018,109670,109680,109650,109690,
18.09.2018,109680,109700,109680,109730,
18.09.2018,109710,109690,109680,109750,
18.09.2018,109670,109720,109650,109720,
18.09.2018,109720,109730,109710,109750,
18.09.2018,109730,109680,109660,109740,
18.09.2018,109690,109680,109660,109730,
18.09.2018,109680,109660,109660,109720,
18.09.2018,109670,109610,109610,109670,
18.09.2018,109610,109620,109600,109620,
18.09.2018,109620,109590,109560,109620,
18.09.2018,109570,109550,109550,109600,
18.09.2018,109560,109570,109560,109590,
18.09.2018,109560,109580,109560,109590,
18.09.2018,109580,109580,109550,109580,
18.09.2018,109580,109570,109570,109600,
18.09.2018,109570,109530,109520,109570,
18.09.2018,109540,109580,109540,109580,
18.09.2018,109590,109610,109590,109610,
18.09.2018,109610,109580,109550,109620,
18.09.2018,109580,109570,109560,109580,
18.09.2018,109570,109570,109570,109580,
18.09.2018,109570,109540,109540,109570,
18.09.2018,109520,109510,109510,109530,
18.09.2018,109510,109440,109430,109520,
18.09.2018,109440,109450,109410,109460,
18.09.2018,109470,109470,109470,109500,
18.09.2018,109470,109410,109390,109470,
18.09.2018,109410,109330,109320,109420,
18.09.2018,109320,109370,109300,109370,
18.09.2018,109370,109390,109370,109410,
18.09.2018,109400,109360,109350,109410,
18.09.2018,109370,109410,109350,109430,
18.09.2018,109410,109460,109400,109460,
18.09.2018,109460,109500,109440,109510,
18.09.2018,109500,109510,109490,109510,
18.09.2018,109510,109540,109500,109550,
18.09.2018,109550,109550,109530,109570,
18.09.2018,109520,109550,109520,109560,
18.09.2018,109560,109620,109560,109620,
18.09.2018,109630,109620,109620,109660,
18.09.2018,109620,109580,109570,109620,
18.09.2018,109590,109560,109560,109600,
18.09.2018,109570,109550,109550,109570,
18.09.2018,109550,109550,109530,109560,
18.09.2018,109560,109580,109540,109580,
18.09.2018,109580,109570,109550,109580,
18.09.2018,109570,109560,109550,109610,
18.09.2018,109560,109470,109470,109560,
18.09.2018,109470,109470,109470,109500,
18.09.2018,109460,109530,109450,109570,
18.09.2018,109520,109530,109520,109580,
18.09.2018,109530,109480,109470,109530,
18.09.2018,109470,109490,109440,109490,
18.09.2018,109500,109520,109500,109540,
18.09.2018,109520,109460,109460,109540,
18.09.2018,109470,109440,109430,109500,
18.09.2018,109450,109480,109430,109480,
18.09.2018,109480,109440,109440,109480,
18.09.2018,109440,109480,109440,109490,
18.09.2018,109480,109450,109450,109510,
18.09.2018,109440,109420,109410,109440,
18.09.2018,109420,109470,109420,109480,
18.09.2018,109460,109480,109430,109520,
18.09.2018,109490,109430,109430,109500,
18.09.2018,109440,109440,109440,109460,
18.09.2018,109450,109470,109450,109480,
18.09.2018,109460,109430,109400,109490,
18.09.2018,109430,109500,109430,109540,
18.09.2018,109490,109500,109490,109530,
18.09.2018,109510,109510,109490,109510,
18.09.2018,109510,109490,109490,109520,
18.09.2018,109520,109510,109500,109540,
18.09.2018,109510,109510,109500,109530,
18.09.2018,109500,109520,109500,109520,
18.09.2018,109520,109520,109510,109530,
18.09.2018,109530,109540,109530,109560,
18.09.2018,109540,109540,109530,109550,
18.09.2018,109560,109540,109520,109560,
18.09.2018,109550,109570,109550,109570,
18.09.2018,109570,109570,109510,109570,
18.09.2018,109570,109560,109510,109570,
18.09.2018,109560,109570,109560,109600,
18.09.2018,109550,109560,109540,109580,
18.09.2018,109570,109560,109550,109570,
18.09.2018,109570,109590,109570,109620,
18.09.2018,109590,109580,109570,109610,
18.09.2018,109580,109610,109570,109620,
18.09.2018,109610,109600,109590,109630,
18.09.2018,109610,109610,109610,109640,
18.09.2018,109600,109600,109580,109610,
18.09.2018,109600,109640,109600,109650,
